Task_ID,Task_Duration_Days,Labor_Required,Equipment_Units,Material_Cost_USD,Start_Constraint,Risk_Level,Resource_Constraint_Score,Site_Constraint_Score,Dependency_Count
T1,52,14,6,16789.73,0,Medium,0.41,0.59,4
T2,15,2,2,16885.8,5,Low,0.75,0.17,3
T3,72,11,1,7978.7,22,Low,0.96,0.41,1
T4,61,1,5,19379.02,18,Low,0.41,0.67,4
T5,21,19,5,66757.72,22,Low,0.85,0.63,3
T6,83,4,2,88287.37,10,High,0.24,0.6,2
T7,87,19,6,81598.44,10,Low,0.63,0.33,0
T8,75,11,9,68828.3,22,Low,0.26,0.4,1
T9,75,8,2,11932.75,29,Low,0.95,0.18,0
T10,88,11,2,29629.56,12,Medium,0.81,0.68,2
T11,24,4,3,31670.88,10,Low,0.73,0.5,4
T12,3,17,7,25745.74,17,Medium,0.86,0.67,4
T13,22,7,6,51985.56,22,Low,0.72,0.3,2
T14,53,8,8,54019.83,14,Low,0.98,0.36,2
T15,2,3,8,36331.71,0,Low,0.77,0.37,1
T16,88,2,6,36025.13,20,High,0.94,0.12,3
T17,30,15,3,83027.0,24,High,0.61,0.37,0
T18,38,5,3,79139.99,6,Low,0.29,0.74,0
T19,2,1,1,31471.79,22,Medium,0.62,0.82,4
T20,64,4,7,91465.06,26,High,0.3,0.51,4
T21,60,15,5,95328.69,12,Low,0.67,0.46,1
T22,21,19,4,33347.51,11,High,0.59,0.12,2
T23,33,3,4,36088.07,17,Low,0.7,0.8,0
T24,76,11,4,51057.78,23,High,0.21,0.11,1
T25,58,17,6,94170.96,18,Medium,0.36,0.86,4
T26,22,13,8,87755.62,14,High,0.59,0.49,4
T27,89,11,8,11154.23,7,Medium,0.96,0.37,0
T28,49,2,5,39880.34,18,Low,0.51,0.84,4
T29,59,9,6,55783.75,9,High,0.54,0.12,4
T30,42,2,4,50810.11,6,Low,0.77,0.57,3
T31,60,9,9,20192.44,17,Low,0.68,0.54,2
T32,80,9,8,86022.86,15,Medium,0.44,0.28,4
T33,15,8,1,68017.14,19,Medium,0.53,0.44,3
T34,62,17,2,83952.93,26,High,0.37,0.62,1
T35,62,1,9,86017.66,5,Low,0.97,0.68,4
T36,47,11,8,75087.23,26,Medium,0.3,0.1,1
T37,62,8,3,44481.85,8,Medium,0.5,0.85,4
T38,51,10,8,61444.13,20,Low,0.22,0.23,0
T39,55,7,1,16876.18,12,Low,0.38,0.29,3
T40,64,3,4,67690.9,24,Low,0.82,0.31,3
T41,3,3,3,18746.07,20,Low,0.36,0.13,0
T42,51,18,6,69701.01,25,High,0.26,0.2,2
T43,7,5,7,23730.22,7,Medium,0.58,0.89,3
T44,21,12,4,12637.58,15,Medium,0.21,0.35,1
T45,73,12,7,17363.16,12,High,0.27,0.19,3
T46,39,19,9,1197.22,12,Low,0.85,0.19,2
T47,18,6,2,72155.22,16,High,0.82,0.68,1
T48,4,2,3,73507.7,22,Low,0.93,0.78,1
T49,89,12,5,51978.4,19,High,0.88,0.31,0
T50,60,19,3,16974.92,4,Low,0.75,0.12,4
T51,14,5,8,9271.88,21,High,0.24,0.28,0
T52,9,12,8,2893.77,20,Low,0.83,0.15,4
T53,53,17,8,17409.07,27,Low,0.88,0.18,0
T54,2,17,9,89194.7,16,Medium,0.84,0.45,4
T55,84,10,4,24912.15,27,Low,0.61,0.28,3
T56,60,17,5,36072.86,8,Medium,0.39,0.51,1
T57,71,15,5,11429.2,1,Low,0.88,0.3,4
T58,44,12,8,23013.77,24,Medium,0.78,0.85,3
T59,8,16,7,52403.23,25,Low,0.98,0.82,2
T60,47,19,9,61167.52,17,Low,0.32,0.55,0
T61,35,8,8,25289.88,8,Low,0.38,0.38,2
T62,78,17,2,6715.48,5,Low,0.37,0.4,3
